Active MLB Player,Career fWAR,Overall Draft Pick
Jeimer Candelario,3,
Brian Goodwin,2.9,
Donovan Solano,2.8,
Ji-Man Choi,2.8,
Niko Goodrum,2.7,
Chad Pinder,2.7,
Scott Kingery,2.6,
Scott Schebler,2.6,
Ehire Adrianza,2.5,
David Bote,2.5,
Tucker Barnhart,2.4,
Giovanny Urshela,2.4,
Tony Wolters,2.4,
Jesse Winker,2.3,
Jose Peraza,2.3,
Jake Cave,2.3,
Lourdes Gurriel Jr.,2.2,
Daniel Robertson,2.2,
James McCann,2.2,
Yandy Diaz,2.2,
Franmil Reyes,2.1,
Christian Walker,2.1,
Hunter Dozier,2.1,
Albert Almora Jr.,2.1,
Teoscar Hernandez,2.1,
J.P. Crawford,2.1,
Sandy Leon,2.1,
Miguel Andujar,2,
Travis Jankowski,1.9,
Kevin Plawecki,1.9,
J.D. Davis,1.9,
Eloy Jimenez,1.9,
Nomar Mazara,1.7,
Kevin Newman,1.6,
Garrett Cooper,1.5,
Renato Nunez,1.4,
Wilmer Difo,1.4,
Daniel Descalso,1.4,
Hanser Alberto,1.3,
Luke Maile,1.2,
Austin Slater,1.1,
Daniel Vogelbach,1.1,
Victor Caratini,1.1,
Phillip Ervin,0.9,
Ryon Healy,0.8,
Austin Romine,0.8,
Leury Garcia,0.7,
Colin Moran,0.7,
Victor Reyes,0.6,
Ryan McMahon,0.6,
Tony Kemp,0.5,
Vladimir Guerrero Jr.,0.4,
Guillermo Heredia,0.4,
Anthony Santander,0.4,
JaCoby Jones,0.3,
Adam Engel,0.3,
Jake Bauers,0.3,
Rio Ruiz,0.3,
Pedro Severino,0.3,
Orlando Arcia,0.2,
Ronald Guzman,0.1,
Andrew Knapp,0.1,
Brandon Drury,0.1,
J.T. Riddle,0,
Nick Williams,0,
Greg Allen,-0.1,
Ryan O'Hearn,-0.2,
Dominic Smith,-0.2,
Jose Osuna,-0.8,
Ronny Rodriguez,-0.8,
Isiah Kiner-Falefa,-1,
Raimel Tapia,-1.1,
Lewis Brinson,-2.9,
